source_id,tier,lens,publisher,company,title,url,retrieved,note
src-mp-10k-fy2025,1,accounting,US SEC EDGAR,MP Materials,MP Materials Corp. FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1801368/000180136826000008/,2026-07-20,"revenue, net income (attrib), capex, shares outstanding"
src-uuuu-10k-fy2025,1,accounting,US SEC EDGAR,Energy Fuels Inc,Energy Fuels Inc. FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1385849/000138584926000009/,2026-07-20,"revenue, net income, capex, shares outstanding"
src-alb-10k-fy2025,1,accounting,US SEC EDGAR,Albemarle Corporation,Albemarle Corp. FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/,2026-07-20,"revenue, net income (attrib), R&D, capex, shares outstanding"
src-sqm-20f-fy2024,1,accounting,US SEC EDGAR,SQM,Sociedad Quimica y Minera de Chile FY2024 Form 20-F,https://www.sec.gov/Archives/edgar/data/909037/000090903725000020/,2026-07-20,"revenue, net income (attrib owners), capex; USD reporter"
src-vale-20f-fy2025,1,accounting,US SEC EDGAR,Vale S.A.,Vale S.A. FY2025 Form 20-F,https://www.sec.gov/Archives/edgar/data/917851/000129281426001844/,2026-07-20,"revenue, net income (attrib), R&D, PP&E additions, shares outstanding; USD reporter"
