source_id,tier,lens,publisher,company,title,url,retrieved,note,status,superseded_by
SRC001,1,accounting,SEC EDGAR,Centrus Energy Corp,Centrus Energy Corp FY2025 (ended 2025-12-31) 10-K,https://www.sec.gov/Archives/edgar/data/1065059/000162828026007117/0001628280-26-007117-index.htm,2026-07-25,Primary financial source (XBRL),live,
SRC002,1,accounting,SEC EDGAR,BWX Technologies,BWX Technologies FY2025 (ended 2025-12-31) 10-K,https://www.sec.gov/Archives/edgar/data/1486957/000148695726000007/0001486957-26-000007-index.htm,2026-07-25,Primary financial source (XBRL),live,
SRC003,1,accounting,SEC EDGAR,Uranium Energy Corp,Uranium Energy Corp FY2025 (ended 2025-07-31) 10-K,https://www.sec.gov/Archives/edgar/data/1334933/000143774925029761/0001437749-25-029761-index.htm,2026-07-25,Primary financial source (XBRL),live,
SRC004,1,accounting,SEC EDGAR,Energy Fuels Inc,Energy Fuels Inc FY2025 (ended 2025-12-31) 10-K,https://www.sec.gov/Archives/edgar/data/1385849/000138584926000009/0001385849-26-000009-index.htm,2026-07-25,Primary financial source (XBRL),live,
SRC005,1,accounting,SEC EDGAR,Constellation Energy Corporation,Constellation Energy FY2025 (ended 2025-12-31) 10-K,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/0001868275-26-000032-index.htm,2026-07-25,Primary financial source (XBRL),live,
SRC006,1,accounting,SEC EDGAR,Honeywell International (Metropolis Works),Honeywell International Inc FY2025 (ended 2025-12-31) 10-K,https://www.sec.gov/Archives/edgar/data/773840/000077384026000013/0000773840-26-000013-index.htm,2026-07-25,Primary financial source (XBRL); consolidated conglomerate not the Metropolis plant,live,
SRC007,1,accounting,SEC EDGAR,Rio Tinto,Rio Tinto FY2025 (ended 2025-12-31) 20-F,https://www.sec.gov/Archives/edgar/data/863064/000162828026009531/0001628280-26-009531-index.htm,2026-07-25,Primary financial source (XBRL; IFRS),live,
