from_company,to_company,relationship_type,description,evidence_source,evidence_date,confidence,last_updated,lens,source_tier
Dr. Reddy's Laboratories,Aurobindo Pharma,competes-with,"""As an API supplier, we compete with a number of manufacturers within and outside India, which vary in size. Our main competitors in this segment are Divis Laboratories Limited, Aurobindo Pharma Limited, Cipla Limited, Mylan Laboratories Limited, Sun Pharmaceutical Industries Limited and MSN Laboratories Limited, all based or operating in India."" Dr. Reddy's 20-F, API-manufacturing competition section.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,Cipla,competes-with,"""As an API supplier, we compete with a number of manufacturers within and outside India, which vary in size. Our main competitors in this segment are Divis Laboratories Limited, Aurobindo Pharma Limited, Cipla Limited, Mylan Laboratories Limited, Sun Pharmaceutical Industries Limited and MSN Laboratories Limited, all based or operating in India."" Dr. Reddy's 20-F, API-manufacturing competition section.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,Sun Pharmaceutical Industries,competes-with,"""As an API supplier, we compete with a number of manufacturers within and outside India, which vary in size. Our main competitors in this segment are Divis Laboratories Limited, Aurobindo Pharma Limited, Cipla Limited, Mylan Laboratories Limited, Sun Pharmaceutical Industries Limited and MSN Laboratories Limited, all based or operating in India."" Dr. Reddy's 20-F, API-manufacturing competition section.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,Zhejiang Huahai Pharmaceutical,competes-with,"""In addition, we experience competition from European and Chinese manufacturers such as Zhejiang Huahai, Tianyu, as well as from Teva Pharmaceuticals Industries Limited, based in Israel."" Dr. Reddy's 20-F, API-manufacturing competition section, sentence immediately following the API-competitor list above.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,Teva Pharmaceutical Industries,competes-with,"""In addition, we experience competition from European and Chinese manufacturers such as Zhejiang Huahai, Tianyu, as well as from Teva Pharmaceuticals Industries Limited, based in Israel."" Dr. Reddy's 20-F, API-manufacturing competition section, sentence immediately following the API-competitor list above.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,Lonza Group,competes-with,"""With respect to our contract development and manufacturing organization (“CDMO”) services... Key competitors from outside India include Lonza Group, Patheon Inc., Catalent Inc., Cambrex Inc., and WuXi Apptec."" Dr. Reddy's 20-F, CDMO-services competition section.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,Catalent,competes-with,"""With respect to our contract development and manufacturing organization (“CDMO”) services... Key competitors from outside India include Lonza Group, Patheon Inc., Catalent Inc., Cambrex Inc., and WuXi Apptec."" Dr. Reddy's 20-F, CDMO-services competition section.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
Dr. Reddy's Laboratories,WuXi AppTec,competes-with,"""With respect to our contract development and manufacturing organization (“CDMO”) services... Key competitors from outside India include Lonza Group, Patheon Inc., Catalent Inc., Cambrex Inc., and WuXi Apptec."" Dr. Reddy's 20-F, CDMO-services competition section.",https://www.sec.gov/Archives/edgar/data/1135951/000157587226000381/rdy0899_20f.htm,2026-03-31,high,2026-07-22,accounting,1
